Timestamp,What best describes your current student status?  ,Which year of your academic program are you currently enrolled in? ,Which of these best describes your area of study?,"In the past year, how much time did you spend on each responsibility? [Work - not including academic work]","In the past year, how much time did you spend on each responsibility? [Caring]","In the past year, how much time did you spend on each responsibility? [Volunteering]","In the past year, how much time did you spend on each responsibility? [Extra-Curricular activities]","In the past year, how much time did you spend on each responsibility? [Societies / Clubs]","In the past year, how much time did you spend on each responsibility? [Other]",Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Study time for exams ],"Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Timetabled activities attendance (this includes but is not limited to: Lectures, labs and seminars)]",Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Coursework time ],Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Time to socialise],Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Time to engage with student societies and sports],Please rank what areas of your academic experience you feel are most impacted by external responsibilities.  [Grades ],I get adequate mental health support from my university,To what extent are you satisfied with the scheduling support from the university  ,To what extent do you feel supported by your universities career support services,How satisfactory is the academic support from your university ?,I have a strong social life with many close friends at university,To what extent do you agree or disagree with the following: Financially things are a bit of a struggle for me now,Which gender do you identify with? ,What is your age?
10/26/2023 9:26:58,Full time - Postgraduate,Year 3,Accounting and Finance,8 – 16,0/this is not applicable to me,0/this is not applicable to me,8 – 16,0/this is not applicable to me,0/this is not applicable to me,6,6,6,4,3,6,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel somewhat supported,Somewhat satisfied,Tend to agree,Neither agree nor disagree,Male,24 - 30
10/26/2023 9:32:37,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,<8,0/this is not applicable to me,2,3,1 - most impacted,4,3,1 - most impacted,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to agree,Strongly disagree,Female,18 - 24
10/26/2023 9:40:16,Part time - Undergraduate,Year 3,Other,8 – 16,8 – 16,24 – 32,8 – 16,40+,16 – 24,5,4,3,4,5,4,Strongly Agree,Somewhat satisfied,I feel very supported,Somewhat satisfied,Strongly agree,Tend to agree,Male,18 - 24
10/26/2023 13:17:36,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",8 – 16,0/this is not applicable to me,<8,8 – 16,8 – 16,0/this is not applicable to me,1 - most impacted,5,3,1 - most impacted,2,2,Strongly Disagree,Strongly dissatisfied,I feel like the support is somewhat inadequate,Dissatisfied,Tend to agree,Tend to agree,Male,18 - 24
10/26/2023 16:20:08,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",16 – 24,0/this is not applicable to me,0/this is not applicable to me,8 – 16,<8,0/this is not applicable to me,5,3,3,3,3,3,Neither Agree nor Disagree,Dissatisfied,I feel neither supported nor un supported,Dissatisfied,Tend to agree,Tend to disagree,Male,18 - 24
10/26/2023 16:20:31,Full time - Undergraduate,Year 3,Arts & Humanities,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,<8,0/this is not applicable to me,3,3,3,5,5,3,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to agree,Tend to disagree,Female,18 - 24
10/26/2023 16:54:00,Full time - Postgraduate,Year 1,Other,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,<8,<8,<8,3,4,5,2,5,1 - most impacted,Neither Agree nor Disagree,Somewhat satisfied,I feel somewhat supported,Somewhat satisfied,Tend to disagree,Tend to agree,Female,24 - 30
10/26/2023 19:00:38,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",32 – 40,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,6,3,5,2,1 - most impacted,4,Neither Agree nor Disagree,Neither satisfied or dissatisfied,I feel neither supported nor un supported,Neither satisfied or dissatisfied,Tend to agree,Tend to agree,Female,24 - 30
10/26/2023 19:09:16,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",<8,8 – 16,0/this is not applicable to me,<8,<8,8 – 16,1 - most impacted,3,1 - most impacted,1 - most impacted,1 - most impacted,1 - most impacted,Neither Agree nor Disagree,Somewhat satisfied,I feel neither supported nor un supported,Dissatisfied,Neither agree nor disagree,Strongly agree,Female,18 - 24
10/27/2023 9:02:53,Full time - Undergraduate,Year 3,"STEM (Science, Technology, Engineering and Math)",0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,0/this is not applicable to me,8 – 16,1 - most impacted,1 - most impacted,2,2,2,2,Agree,Dissatisfied,I feel neither supported nor un supported,Somewhat satisfied,Tend to agree,Neither agree nor disagree,Male,24 - 30
